"OBJECTTYPE"	"PROPERTY"	"LISTDISPNAME"	"LANG"	"DISPNAME"	"VALUE"	"DEPON"	"DEPVALUE"
"LimitedLiabilityCompany"	"ProficientCode"	"ProficientCodes"	"en_US"	"02:PARTNERSHIP"	"02:PARTNERSHIP"	""	""
"LimitedLiabilityCompany"	"ProficientCode"	"ProficientCodes"	"en_US"	"03:CLUBS SOCITIES"	"03:CLUBS SOCITIES"	""	""
"LimitedLiabilityCompany"	"ProficientCode"	"ProficientCodes"	"en_US"	"04:SOLE PROPRIETORS"	"04:SOLE PROPRIETORS"	""	""
"LimitedLiabilityCompany"	"ProficientCode"	"ProficientCodes"	"en_US"	"13:COMPANY EMPLOYEES"	"13:COMPANY EMPLOYEES"	""	""
"LimitedLiabilityCompany"	"ProficientCode"	"ProficientCodes"	"en_US"	"15:PROFESSIONAL(DOCTORS&ETC)"	"15:PROFESSIONAL(DOCTORS&ETC)"	""	""
"LimitedLiabilityCompany"	"ProficientCode"	"ProficientCodes"	"en_US"	"99:OTHERS"	"99:OTHERS"	""	""
"LimitedLiabilityCompany"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"Sinhala"	"Sinhala"	""	""
"LimitedLiabilityCompany"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"Tamil"	"Tamil"	""	""
"LimitedLiabilityCompany"	"CRIBClearance"	"CRIBClearances"	"en_US"	"N"	"N"	""	""
"LimitedLiabilityCompany"	"BlackListClearance"	"BlackListClearances"	"en_US"	"Y"	"Y"	""	""
"LimitedLiabilityCompany"	"BlackListClearance"	"BlackListClearances"	"en_US"	"N"	"N"	""	""
"AddressInformation"	"TypeOfAddress"	"TypeOfAddresses"	"en_US"	"Quarters"	"Quarters"	""	""
"BankStatements"	"Status"	"Statuses"	"en_US"	"Active"	"Active"	""	""
"BankStatements"	"Status"	"Statuses"	"en_US"	"Closed"	"Closed"	""	""
"BankStatements"	"TransactionAccountForCF"	"TransactionAccountsForCF"	"en_US"	"Yes"	"Yes"	""	""
"BankStatements"	"TransactionAccountForCF"	"TransactionAccountsForCF"	"en_US"	"No"	"No"	""	""
"AssetDetails"	"AssetType"	"AssetTypes"	"en_US"	"Moveable"	"Moveable"	""	""
"AssetDetails"	"AssetType"	"AssetTypes"	"en_US"	"Immovable"	"Immovable"	""	""
"AssetDetails"	"AssetType"	"AssetTypes"	"en_US"	"Fixed Deposits"	"Fixed Deposits"	""	""
"AssetDetails"	"AssetType"	"AssetTypes"	"en_US"	"Tbs"	"Tbs"	""	""
"CFProcess.Workflow.InitialPayments"	"SettlemetOfContractDeductable"	"SettlemetOfContracts"	"en_US"	"N"	"N"	""	""
"AddressInformation"	"TypeOfAddress"	"TypeOfAddresses"	"en_US"	"Owner"	"Owner"	""	""
"AddressInformation"	"TypeOfAddress"	"TypeOfAddresses"	"en_US"	"Tenant"	"Tenant"	""	""
"AddressInformation"	"TypeOfAddress"	"TypeOfAddresses"	"en_US"	"Parents house"	"Parents house"	""	""
"SoleProprietors"	"ProficientCode"	"ProficientCodes"	"en_US"	"05:INDIVIDUALS"	"05:INDIVIDUALS"	""	""
"SoleProprietors"	"ProficientCode"	"ProficientCodes"	"en_US"	"01:LIMITED LIABILITY COMPANY"	"01:LIMITED LIABILITY COMPANY"	""	""
"SoleProprietors"	"ProficientCode"	"ProficientCodes"	"en_US"	"02:PARTNERSHIP"	"02:PARTNERSHIP"	""	""
"SoleProprietors"	"ProficientCode"	"ProficientCodes"	"en_US"	"03:CLUBS SOCITIES"	"03:CLUBS SOCITIES"	""	""
"SoleProprietors"	"ProficientCode"	"ProficientCodes"	"en_US"	"04:SOLE PROPRIETORS"	"04:SOLE PROPRIETORS"	""	""
"SoleProprietors"	"ProficientCode"	"ProficientCodes"	"en_US"	"13:COMPANY EMPLOYEES"	"13:COMPANY EMPLOYEES"	""	""
"SoleProprietors"	"ProficientCode"	"ProficientCodes"	"en_US"	"15:PROFESSIONAL(DOCTORS&ETC)"	"15:PROFESSIONAL(DOCTORS&ETC)"	""	""
"SoleProprietors"	"ProficientCode"	"ProficientCodes"	"en_US"	"99:OTHERS"	"99:OTHERS"	""	""
