what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265953995281
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265954000640
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265954007578
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265954014406
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265954014718
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265954014812
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265954019000
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265954019281
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265954019437
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265954026500
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265954026765
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265954026921
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265954031968
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265954037500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954039703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954054640
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1265954054718
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1265954054718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954056875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954069640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954073312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954076125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954077968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954078000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954078062
