what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712578948
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712598376
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1230712601750
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1230712608911
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1230712609131
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1230712609161
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712609522
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712625094
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1230712625204
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712625555
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712625695
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712628198
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712645343
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1230712645513
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712645774
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712651452
started,bundle,org.eclipse.birt.report.debug.ui,2.3.1.v20080911,org.eclipse.birt.report.debug.ui,1230712655888
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712658933
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712673504
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.export,1230712673624
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.export,1230712673624
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712675026
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712708544
activated,editor,org.eclipse.jpt.ui,2.0.101.v200809030200,org.eclipse.jpt.ui.internal.editors.PersistenceEditor,1230712708714
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1230712712139
