what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1268974880312
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1268974880828
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1268974880890
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1268974880968
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1268974881015
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1268974881343
started,bundle,org.cfeclipse.cfml,1.3.5.201002010103,"org.cfeclipse.cfml",1268974881546
started,bundle,org.cfeclipse.cfml.frameworks,1.0.3.201002010103,"org.cfeclipse.cfml.frameworks",1268974881578
started,bundle,org.eclipse.ecf.docshare,2.1.0.v20090916-2238,"org.eclipse.ecf.docshare",1268974881593
os,sysinfo,,,"win32",1268974881593
arch,sysinfo,,,"x86",1268974881593
ws,sysinfo,,,"win32",1268974881593
locale,sysinfo,,,"en_US",1268974881593
processors,sysinfo,,,"2",1268974881609
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268974881609
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1268974881609
java.specification.name,sysinfo,,,"Java Platform API Specification",1268974881609
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268974881609
java.specification.version,sysinfo,,,"1.6",1268974881609
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1268974881609
java.version,sysinfo,,,"1.6.0_18",1268974881609
java.vm.info,sysinfo,,,"mixed mode",1268974881609
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1268974881609
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268974881609
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268974881609
