what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265885589375
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265885589562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265886215390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265886269562
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.3.v200906020553,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1265886277750
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265886314781
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1265886331859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265886365281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265886365281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265886365343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265889604046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265889604531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265889605890
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265889606609
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1265889608703
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1265889608781
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1265889608859
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1265889609156
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1265889609312
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1265889609484
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1265889609546
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1265889609546
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1265889609609
