what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954418640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954420125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954420156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954420203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954574390
opened,editor,org.eclipse.jpt.ui,2.2.1.v200909020220,"org.eclipse.jpt.ui.internal.editors.PersistenceEditor",1265954583234
activated,editor,org.eclipse.jpt.ui,2.2.1.v200909020220,"org.eclipse.jpt.ui.internal.editors.PersistenceEditor",1265954583453
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265954589046
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265954590781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954596703
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1265954599843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954611078
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1265954611140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954618828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954630093
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1265954630187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1265954630187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954631500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265954640718
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1265954642625
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265954642656
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265954652390
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1265954655312
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265954657546
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265954675546
