what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1230711748764
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1230711753681
activated,editor,org.eclipse.jpt.ui,2.0.101.v200809030200,org.eclipse.jpt.ui.internal.editors.PersistenceEditor,1230711754422
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230711755103
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712051319
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1230712052631
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712056877
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712114460
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.export,1230712114500
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.export,1230712114500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712114900
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712114930
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712114990
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712165824
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712167466
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712169238
activated,editor,org.eclipse.jpt.ui,2.0.101.v200809030200,org.eclipse.jpt.ui.internal.editors.PersistenceEditor,1230712169409
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712171792
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712171802
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712171812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712175918
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712181616
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712181636
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712181646
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230712523989
