what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1268910942078
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1268910942218
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1268910942312
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1268910942359
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1268910942359
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1268910942500
started,bundle,org.cfeclipse.cfml,1.3.5.201002010103,"org.cfeclipse.cfml",1268910942734
started,bundle,org.cfeclipse.cfml.frameworks,1.0.3.201002010103,"org.cfeclipse.cfml.frameworks",1268910942781
started,bundle,org.eclipse.ecf.docshare,2.1.0.v20090916-2238,"org.eclipse.ecf.docshare",1268910942828
os,sysinfo,,,"win32",1268910942828
arch,sysinfo,,,"x86",1268910942828
ws,sysinfo,,,"win32",1268910942828
locale,sysinfo,,,"en_US",1268910942828
processors,sysinfo,,,"2",1268910942828
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268910942828
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1268910942828
java.specification.name,sysinfo,,,"Java Platform API Specification",1268910942828
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268910942828
java.specification.version,sysinfo,,,"1.6",1268910942828
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1268910942828
java.version,sysinfo,,,"1.6.0_18",1268910942828
java.vm.info,sysinfo,,,"mixed mode, sharing",1268910942828
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1268910942828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268910942828
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268910942828
