what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265955183984
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265955184921
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265955185203
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265955190531
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265955195359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265955196312
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265955201687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955207843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955220312
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1265955220390
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1265955220390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955221859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955230718
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265955235062
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1265955240781
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1265955244437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955246109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955246140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955246437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955353031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955354578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955354625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955354671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265955429625
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1265955431750
