what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1265950819406
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1265950821984
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1265950824421
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1265950832125
opened,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1265950840906
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1265950840984
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1265950843781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265950850500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265950850500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265950850578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265951137593
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1265951190375
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1265951190531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265951204234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265951204250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265951204390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265951206796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265951207953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265951710593
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1265951713250
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265951716921
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1265951718984
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1265951719625
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265951722562
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1265951724375
